GUID 17cba0bf7f644dbd806245bd7700cf0c
Type Melee
Rarity Epic
Useable Melee
Slot Secondary
ID 60077

Size_X 1
Size_Y 3
Size_Z 0.7

Range 2.5
Strength 1.6
Stamina 15
Strong 0.57
Weak 0.5

Player_Damage 75
Player_Leg_Multiplier 0.9
Player_Arm_Multiplier 0.9
Player_Spine_Multiplier 0.9
Player_Skull_Multiplier 1.2

Zombie_Damage 99
Zombie_Leg_Multiplier 0.8
Zombie_Arm_Multiplier 0.8
Zombie_Spine_Multiplier 1.1
Zombie_Skull_Multiplier 1.3

Animal_Damage 75
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.2

Barricade_Damage 5
Structure_Damage 5
Vehicle_Damage 25
Resource_Damage 30
Object_Damage 25

Durability 0.1

Blueprints 2
Blueprint_0_Type Tool
Blueprint_0_Supplies 3
Blueprint_0_Supply_0_ID 59009
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Supply_1_ID 59628
Blueprint_0_Supply_1_Amount 2
Blueprint_0_Supply_2_ID 59545
Blueprint_0_Supply_2_Amount 1
Blueprint_0_Tool 59376
Blueprint_0_Supply_0_Critical
Blueprint_0_Build 27

Blueprint_1_Type Repair
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 59000
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Build 27

Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 60077
Blueprint_1_Product 59000
Blueprint_1_Products 4
Blueprint_1_Build 27

Exclude_From_Master_Bundle
Asset_Bundle_Version 2
