GUID e7fabb95dca140d7bf6c9294114dfb0e

Type Dialogue
ID 59026

Messages 1

Message_0_Pages 1

Responses 58

//BARTERS

//Barter 1
Response_0_Quest 59019
Response_0_Rewards 1
Response_0_Reward_0_Type Quest
Response_0_Reward_0_ID 59019
Response_0_Conditions 1
Response_0_Condition_0_Type Quest
Response_0_Condition_0_ID 59019
Response_0_Condition_0_Status None
Response_0_Condition_0_Logic Equal
Response_0_Dialogue 59005

Response_1_Dialogue 59003
Response_1_Quest 59019
Response_1_Conditions 1
Response_1_Condition_0_Type Quest
Response_1_Condition_0_ID 59019
Response_1_Condition_0_Status Ready
Response_1_Condition_0_Logic Equal
Response_1_Condition_0_Reset

Response_2_Quest 59019
Response_2_Rewards 1
Response_2_Reward_0_Type Quest
Response_2_Reward_0_ID 59019
Response_2_Conditions 1
Response_2_Condition_0_Type Quest
Response_2_Condition_0_ID 59019
Response_2_Condition_0_Status Completed
Response_2_Condition_0_Logic Equal
Response_2_Dialogue 59005

//Barter 2
Response_3_Quest 59020
Response_3_Rewards 1
Response_3_Reward_0_Type Quest
Response_3_Reward_0_ID 59020
Response_3_Conditions 1
Response_3_Condition_0_Type Quest
Response_3_Condition_0_ID 59020
Response_3_Condition_0_Status None
Response_3_Condition_0_Logic Equal
Response_3_Dialogue 59005

Response_4_Dialogue 59003
Response_4_Quest 59020
Response_4_Conditions 1
Response_4_Condition_0_Type Quest
Response_4_Condition_0_ID 59020
Response_4_Condition_0_Status Ready
Response_4_Condition_0_Logic Equal
Response_4_Condition_0_Reset

Response_5_Quest 59020
Response_5_Rewards 1
Response_5_Reward_0_Type Quest
Response_5_Reward_0_ID 59020
Response_5_Conditions 1
Response_5_Condition_0_Type Quest
Response_5_Condition_0_ID 59020
Response_5_Condition_0_Status Completed
Response_5_Condition_0_Logic Equal
Response_5_Dialogue 59005

//Barter 3
Response_6_Quest 59021
Response_6_Rewards 1
Response_6_Reward_0_Type Quest
Response_6_Reward_0_ID 59021
Response_6_Conditions 2
Response_6_Condition_0_Type Quest
Response_6_Condition_0_ID 59021
Response_6_Condition_0_Status None
Response_6_Condition_0_Logic Equal
Response_6_Condition_1_Type Flag_Bool
Response_6_Condition_1_ID 59004
Response_6_Condition_1_Value True
Response_6_Condition_1_Logic Equal
Response_6_Dialogue 59005

Response_7_Dialogue 59003
Response_7_Quest 59021
Response_7_Conditions 1
Response_7_Condition_0_Type Quest
Response_7_Condition_0_ID 59021
Response_7_Condition_0_Status Ready
Response_7_Condition_0_Logic Equal
Response_7_Condition_0_Reset

Response_8_Quest 59021
Response_8_Rewards 1
Response_8_Reward_0_Type Quest
Response_8_Reward_0_ID 59021
Response_8_Conditions 2
Response_8_Condition_0_Type Quest
Response_8_Condition_0_ID 59021
Response_8_Condition_0_Status Completed
Response_8_Condition_0_Logic Equal
Response_8_Condition_1_Type Flag_Bool
Response_8_Condition_1_ID 59004
Response_8_Condition_1_Value True
Response_8_Condition_1_Logic Equal
Response_8_Dialogue 59005

//Barter 4
Response_9_Quest 59022
Response_9_Rewards 1
Response_9_Reward_0_Type Quest
Response_9_Reward_0_ID 59022
Response_9_Conditions 2
Response_9_Condition_0_Type Quest
Response_9_Condition_0_ID 59022
Response_9_Condition_0_Status None
Response_9_Condition_0_Logic Equal
Response_9_Condition_1_Type Flag_Bool
Response_9_Condition_1_ID 59004
Response_9_Condition_1_Value True
Response_9_Condition_1_Logic Equal
Response_9_Dialogue 59005

Response_10_Dialogue 59003
Response_10_Quest 59022
Response_10_Conditions 1
Response_10_Condition_0_Type Quest
Response_10_Condition_0_ID 59022
Response_10_Condition_0_Status Ready
Response_10_Condition_0_Logic Equal
Response_10_Condition_0_Reset

Response_11_Quest 59022
Response_11_Rewards 1
Response_11_Reward_0_Type Quest
Response_11_Reward_0_ID 59022
Response_11_Conditions 2
Response_11_Condition_0_Type Quest
Response_11_Condition_0_ID 59022
Response_11_Condition_0_Status Completed
Response_11_Condition_0_Logic Equal
Response_11_Condition_1_Type Flag_Bool
Response_11_Condition_1_ID 59004
Response_11_Condition_1_Value True
Response_11_Condition_1_Logic Equal
Response_11_Dialogue 59005

//Barter 5
Response_12_Quest 59337
Response_12_Rewards 1
Response_12_Reward_0_Type Quest
Response_12_Reward_0_ID 59337
Response_12_Conditions 2
Response_12_Condition_0_Type Quest
Response_12_Condition_0_ID 59337
Response_12_Condition_0_Status None
Response_12_Condition_0_Logic Equal
Response_12_Condition_1_Type Flag_Bool
Response_12_Condition_1_ID 59004
Response_12_Condition_1_Value True
Response_12_Condition_1_Logic Equal
Response_12_Dialogue 59005

Response_13_Dialogue 59003
Response_13_Quest 59337
Response_13_Conditions 1
Response_13_Condition_0_Type Quest
Response_13_Condition_0_ID 59337
Response_13_Condition_0_Status Ready
Response_13_Condition_0_Logic Equal
Response_13_Condition_0_Reset

Response_14_Quest 59337
Response_14_Rewards 1
Response_14_Reward_0_Type Quest
Response_14_Reward_0_ID 59337
Response_14_Conditions 2
Response_14_Condition_0_Type Quest
Response_14_Condition_0_ID 59337
Response_14_Condition_0_Status Completed
Response_14_Condition_0_Logic Equal
Response_14_Condition_1_Type Flag_Bool
Response_14_Condition_1_ID 59004
Response_14_Condition_1_Value True
Response_14_Condition_1_Logic Equal
Response_14_Dialogue 59005




//t2

//Barter 5
Response_15_Quest 59330
Response_15_Rewards 1
Response_15_Reward_0_Type Quest
Response_15_Reward_0_ID 59330
Response_15_Conditions 2
Response_15_Condition_0_Type Quest
Response_15_Condition_0_ID 59330
Response_15_Condition_0_Status None
Response_15_Condition_0_Logic Equal
Response_15_Condition_1_Type Flag_Bool
Response_15_Condition_1_ID 59005
Response_15_Condition_1_Value True
Response_15_Condition_1_Logic Equal
Response_15_Dialogue 59005

Response_16_Dialogue 59003
Response_16_Quest 59330
Response_16_Conditions 1
Response_16_Condition_0_Type Quest
Response_16_Condition_0_ID 59330
Response_16_Condition_0_Status Ready
Response_16_Condition_0_Logic Equal
Response_16_Condition_0_Reset

Response_17_Quest 59330
Response_17_Rewards 1
Response_17_Reward_0_Type Quest
Response_17_Reward_0_ID 59330
Response_17_Conditions 2
Response_17_Condition_0_Type Quest
Response_17_Condition_0_ID 59330
Response_17_Condition_0_Status Completed
Response_17_Condition_0_Logic Equal
Response_17_Condition_1_Type Flag_Bool
Response_17_Condition_1_ID 59005
Response_17_Condition_1_Value True
Response_17_Condition_1_Logic Equal
Response_17_Dialogue 59005

//Barter 6
Response_18_Quest 59023
Response_18_Rewards 1
Response_18_Reward_0_Type Quest
Response_18_Reward_0_ID 59023
Response_18_Conditions 2
Response_18_Condition_0_Type Quest
Response_18_Condition_0_ID 59023
Response_18_Condition_0_Status None
Response_18_Condition_0_Logic Equal
Response_18_Condition_1_Type Flag_Bool
Response_18_Condition_1_ID 59005
Response_18_Condition_1_Value True
Response_18_Condition_1_Logic Equal
Response_18_Dialogue 59005

Response_19_Dialogue 59003
Response_19_Quest 59023
Response_19_Conditions 1
Response_19_Condition_0_Type Quest
Response_19_Condition_0_ID 59023
Response_19_Condition_0_Status Ready
Response_19_Condition_0_Logic Equal
Response_19_Condition_0_Reset

Response_20_Quest 59023
Response_20_Rewards 1
Response_20_Reward_0_Type Quest
Response_20_Reward_0_ID 59023
Response_20_Conditions 2
Response_20_Condition_0_Type Quest
Response_20_Condition_0_ID 59023
Response_20_Condition_0_Status Completed
Response_20_Condition_0_Logic Equal
Response_20_Condition_1_Type Flag_Bool
Response_20_Condition_1_ID 59005
Response_20_Condition_1_Value True
Response_20_Condition_1_Logic Equal
Response_20_Dialogue 59005

